purchase_id,customer_id,product_id,purchase_date,quantity,total_amount
1,1,42,4/15/2018 14:08,3,37.64207365
2,1,138,7/10/2022 23:33,4,70.24710587
3,1,403,12/31/2021 3:53,3,89.16889586
4,1,193,1/14/2017 1:25,2,59.70505931
5,1,26,4/6/2018 11:01,3,101.7788639
6,1,357,2/4/2020 10:28,5,167.3844015
7,1,192,9/21/2023 8:52,5,201.9883425
8,2,225,7/31/2021 11:17,5,82.87969346
9,2,218,11/3/2023 8:21,5,230.9389124
10,2,176,12/30/2022 1:32,2,41.32577291
11,2,14,7/27/2023 15:38,1,49.40745913
12,2,444,9/14/2023 7:17,2,39.66152687
13,2,150,12/9/2021 11:20,3,30.63026923
14,2,55,12/19/2022 10:28,1,42.61748689
15,2,134,10/22/2021 21:46,3,137.0824997
16,2,107,7/31/2022 10:35,3,11.31157327
17,2,415,3/20/2023 14:08,2,91.31597883
18,2,389,11/1/2022 10:16,4,182.2416563
19,2,123,11/24/2022 3:14,4,99.92195439
20,3,459,3/22/2019 2:00,3,32.81843738
21,3,25,9/5/2022 9:27,3,125.4992556
22,3,476,8/8/2019 6:18,1,11.70088164
23,3,232,1/9/2023 0:52,5,171.3001873
24,3,71,1/17/2019 8:21,3,68.86068683
25,3,230,1/1/2021 9:33,4,191.0039566
26,3,213,9/20/2018 10:59,4,128.9634726
27,3,127,12/27/2019 12:36,1,8.503418808
28,3,328,5/6/2019 19:44,3,65.14009104
29,3,6,2/28/2020 1:51,5,244.7203119
30,3,24,9/25/2018 22:52,5,211.8726827
31,3,349,9/23/2018 6:12,3,56.78483395
32,3,252,11/12/2022 0:46,2,4.122401443
33,3,146,6/3/2020 22:43,2,71.66954188
34,4,327,8/5/2020 1:30,1,29.69849697
35,4,305,7/18/2022 4:54,1,14.45394173
36,4,35,2/8/2021 21:17,2,70.41846479
37,4,378,9/29/2023 20:37,1,43.5299675
38,4,393,5/3/2021 11:22,2,42.40874524
39,4,335,8/22/2018 6:35,1,3.822422068
40,4,329,8/23/2019 4:34,1,8.306429529
41,4,370,7/9/2018 16:22,1,39.81217168
42,4,86,1/24/2019 17:11,2,88.12662081
43,4,351,12/4/2020 9:30,3,127.8754931
